RefDes,Type,X (mm),Y (mm),Side,Rotate,Value,Feeder,Code
U7,FDC6301N,38.81,76.71,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,38.99,69.98,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,38.99,79.82,Top,90,2K2 x 4,8,3
U2,FDC6301N,54.31,73.54,Top,90,Dual Mosfet,1,7
U7,FDC6301N,54.31,76.71,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,54.49,69.98,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,54.49,79.82,Top,90,2K2 x 4,8,3
U2,FDC6301N,69.81,73.54,Top,90,Dual Mosfet,1,7
U7,FDC6301N,69.81,76.71,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,69.99,69.98,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,69.99,79.82,Top,90,2K2 x 4,8,3
U2,FDC6301N,7.81,87.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,7.81,90.31001,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,7.99,83.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,7.99,93.42,Top,90,2K2 x 4,8,3
U2,FDC6301N,23.31,87.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,23.31,90.31001,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,23.49,83.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,23.49,93.42,Top,90,2K2 x 4,8,3
U2,FDC6301N,38.81,87.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,38.81,90.31001,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,38.99,83.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,38.99,93.42,Top,90,2K2 x 4,8,3
U2,FDC6301N,54.31,87.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,54.31,90.31001,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,54.49,83.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,54.49,93.42,Top,90,2K2 x 4,8,3
U2,FDC6301N,69.81,87.14,Top,90,Dual Mosfet,1,7
U7,FDC6301N,69.81,90.31001,Top,90,Dual Mosfet,1,7
R1,CAY16-222J4LF,69.99,83.58,Top,90,2K2 x 4,8,3
R6,CAY16-222J4LF,69.99,93.42,Top,90,2K2 x 4,8,3
