RefDes,Type,Y (mm),X (mm),Side,Rotate,Value,Feeder,Code
C1,CAP,24.88,17.31,Top,0,100nf,3,5
C2,CAP,25.04,8.1,Top,0,100nf,3,5
C3,CAP,25.37,15.24,Top,0,10uF Tantalum,2,6
C4,CAP,25.37,10.16,Top,0,10uF Tantalum,2,6
R21,CAY16-222J4LF,13.54,31.44,Top,90,,7,3
U1,MCP3424,16.79,9.4,Top,0,MCP3424,24,100
U2,MCP3424,16.79,20.1,Top,0,MCP3428,24,100
U7,FDC6301N,9.54,32.1,Top,0,,1,7
